Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
1st phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,5,12.333333333333334,5,10.6,Dropout
1st phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,13.6,4,11.75,Dropout
1st phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,12.5,5,12.5,Graduate
Change of institution/course,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Higher education - doctorate,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,Yes,5,12.2,4,12.6,Dropout
2nd phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Student,Administrative staff,No,Yes,5,11.4,6,13.333333333333334,Graduate
Change of course,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,3,12.0,4,10.25,Dropout
Change of course,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Unskilled Workers,Unskilled Workers,No,Yes,6,11.166666666666666,7,10.571428571428571,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,5,12.62,6,12.5,Graduate
Over 23 years old,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,3,10.666666666666666,3,11.333333333333334,Dropout
Over 23 years old,Oral Hygiene,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,11.857142857142858,5,11.7,Graduate
Over 23 years old,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,15.75,5,16.4,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled construction workers and the like, except electricians",Meal preparation assistants,No,Yes,4,11.0,3,10.666666666666666,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,5,12.4,3,11.0,Graduate
1st phase - special contingent (Madeira Island),Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,3,12.0,4,12.625,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,0,0.0,0,0.0,Graduate
3rd phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Student,Unskilled Workers,No,Yes,6,12.0,6,12.166666666666666,Graduate
2nd phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,Yes,3,10.333333333333334,3,14.428571428571429,Dropout
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,5,12.94,5,13.76,Graduate
1st phase - general contingent,Management,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Armed Forces Professions,No,Yes,4,12.25,4,12.0,Graduate
Holders of other higher courses,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,4,13.625,7,12.6375,Graduate
Over 23 years old,Management (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,4,12.0,5,12.666666666666666,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Unskilled workers in agriculture, animal production, fisheries and forestry","Unskilled workers in agriculture, animal production, fisheries and forestry",No,Yes,6,13.598333333333334,6,11.933333333333332,Graduate
Holders of other higher courses,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,11,12.7,10,12.96818181818182,Graduate
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,6,11.5,7,12.714285714285714,Graduate
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,6,12.875,6,12.9,Graduate
2nd phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,4,10.75,5,11.5,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,13.533333333333331,7,12.228571428571428,Graduate
Short cycle diploma holders,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,8,13.25,5,12.2,Graduate
Over 23 years old,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,1,11.0,1,10.0,Dropout
Short cycle diploma holders,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Intermediate Level Technicians and Professions,No,Yes,1,12.0,1,11.0,Dropout
Change of course,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,4,14.75,Dropout
Short cycle diploma holders,Management (evening attendance),Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Unskilled workers in extractive industry, construction, manufacturing and transport",cleaning workers,No,Yes,8,12.375,5,12.6,Graduate
2nd phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,5,12.6,6,12.428571428571429,Graduate
Over 23 years old,Social Service (evening attendance),Other - 11th year of schooling,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Yes,Yes,4,12.25,4,11.5,Graduate
1st phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,Yes,Yes,6,11.375,5,13.8,Graduate
2nd phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,4,13.5,6,13.625,Graduate
3rd phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,10.0,3,12.0,Dropout
1st phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.333333333333334,3,12.0,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,3,12.0,4,11.75,Graduate
1st phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other Armed Forces personnel,Meal preparation assistants,No,Yes,6,13.5,6,14.0,Graduate
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,Yes,4,10.666666666666666,2,12.0,Dropout
1st phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,4,12.5,2,12.666666666666666,Dropout
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,4,11.5,3,13.75,Graduate
1st phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,3,11.2,4,12.0,Dropout
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,Yes,5,13.0,5,10.4,Graduate
Over 23 years old,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,Yes,Yes,6,12.6,6,11.685714285714283,Graduate
2nd phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,Yes,No,5,12.8,4,12.0,Dropout
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,5,13.04,7,12.5,Graduate
Short cycle diploma holders,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,No,No,11,13.166666666666666,8,13.333333333333334,Dropout
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,5,10.6,5,11.166666666666666,Graduate
1st phase - general contingent,Veterinary Nursing,Other - 11th year of schooling,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,6,13.428571428571429,5,12.666666666666666,Graduate
2nd phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,5,12.0,4,12.5,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,4,11.5,3,10.6,Graduate
1st phase - general contingent,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,No,Yes,6,13.333333333333334,6,13.0,Graduate
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,0,0.0,0,0.0,Graduate
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.2,5,10.8,Graduate
1st phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,4,11.0,3,11.666666666666666,Dropout
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,5,11.6,3,12.666666666666666,Graduate
1st phase - general contingent,Equinculture,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,13.5,5,13.4,Dropout
1st phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,5,13.4,2,13.5,Graduate
2nd phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,3,10.2,4,12.25,Graduate
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,10.833333333333334,5,11.0,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,12.816666666666668,6,12.875,Graduate
International student (bachelor),Informatics Engineering,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,sellers,"Data, accounting, statistical, financial services and registry-related operators",No,Yes,2,13.5,2,11.0,Dropout
1st phase - general contingent,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,4,11.6,4,12.25,Graduate
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,5,12.0,4,13.0,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,6,13.976666666666668,6,12.041666666666666,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education - Bachelor's Degree,"Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence","Data, accounting, statistical, financial services and registry-related operators",No,Yes,4,12.5,1,10.0,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,Yes,3,11.666666666666666,4,12.0,Dropout
2nd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,6,11.833333333333334,5,10.4,Graduate
2nd phase - general contingent,Informatics Engineering,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Administrative staff,No,Yes,4,13.2,4,14.25,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,5,12.0,4,11.4,Graduate
Technological specialization diploma holders,Agronomy,Higher Education,Higher Education,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,4,11.6,5,11.5,Graduate
2nd phase - general contingent,Informatics Engineering,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Unskilled Workers,No,Yes,4,12.0,2,12.5,Dropout
2nd phase - general contingent,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,Yes,Yes,6,11.285714285714286,5,12.2,Graduate
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,5,12.0,6,12.333333333333334,Graduate
Over 23 years old,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Vehicle drivers and mobile equipment operators,cleaning workers,No,Yes,5,13.34,5,10.84,Graduate
Over 23 years old,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,7,12.457142857142856,7,12.457142857142856,Graduate
Over 23 years old,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,4,10.5,4,10.5,Dropout
Over 23 years old,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,4,10.0,4,12.5,Dropout
1st phase - general contingent,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Graduate
1st phase - general contingent,Animation and Multimedia Design,Higher Education - Bachelor's Degree,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Agronomy,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,2,13.0,3,13.0,Dropout
Holders of other higher courses,Informatics Engineering,Higher Education,Higher Education - Master's,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,No,Yes,4,14.5,3,16.2,Graduate
Technological specialization diploma holders,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,12.25,6,12.5,Graduate
3rd phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,No,5,12.6,5,11.8,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,0,0.0,0,0.0,Dropout
International student (bachelor),Biofuel Production Technologies,Higher Education,Higher Education - Bachelor's Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,No,Yes,7,12.857142857142858,4,12.75,Graduate
2nd phase - general contingent,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,13.6,4,14.25,Graduate
Technological specialization diploma holders,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,No,3,12.0,2,11.0,Dropout
2nd phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,No,Yes,6,13.166666666666666,4,14.0,Graduate
International student (bachelor),Oral Hygiene,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,0,0.0,2,11.666666666666666,Dropout
1st phase - general contingent,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,12,14.0,7,13.857142857142858,Graduate
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,11.25,4,13.0,Dropout
1st phase - special contingent (Madeira Island),Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,0,0.0,0,0.0,Graduate
1st phase - special contingent (Madeira Island),Communication Design,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Administrative staff,No,Yes,1,11.0,4,11.0,Dropout
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,4,12.0,4,12.25,Graduate
2nd phase - general contingent,Informatics Engineering,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,5,11.166666666666666,3,10.8,Dropout
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,11.5,2,10.333333333333334,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,2,10.5,4,11.75,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,4,12.5,4,11.0,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.833333333333334,6,12.5,Graduate
2nd phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,6,12.285714285714286,4,14.25,Graduate
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,No,Yes,5,11.0,3,10.333333333333334,Dropout
Short cycle diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,11,12.545454545454543,8,11.625,Graduate
2nd phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,6,12.666666666666666,5,13.6,Graduate
1st phase - special contingent (Madeira Island),Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,No,Yes,5,13.0,5,12.4,Graduate
Change of course,Social Service (evening attendance),Higher Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Health professionals,"Technicians and professionals, of intermediate level of health",No,Yes,13,13.307692307692308,11,12.818181818181818,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Unskilled Workers,Unskilled Workers,No,Yes,7,14.514285714285714,7,14.514285714285714,Graduate
Holders of other higher courses,Management (evening attendance),Higher Education,Higher Education - Master (2nd cycle),Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,5,15.2,5,14.0,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,4,11.75,2,10.5,Dropout
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Higher Education,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,0,0.0,0,0.0,Dropout
