Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
2nd phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unknown,"Skilled Workers in Industry, Construction and Craftsmen",Student,No,No,1,10.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,7,14.69625,8,14.622222222222224,Graduate
2nd phase - general contingent,Oral Hygiene,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,7,12.855555555555556,8,13.9125,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Intermediate Level Technicians and Professions,No,Yes,7,13.7,8,13.994444444444444,Graduate
1st phase - general contingent,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Intermediate Level Technicians and Professions,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,No,0,0.0,1,12.0,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,7,13.285714285714286,8,13.333333333333334,Graduate
Change of course,Equinculture,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,5,11.5,5,11.0,Dropout
3rd phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,7,11.4,7,11.4,Graduate
Technological specialization diploma holders,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Yes,Yes,6,12.333333333333334,6,11.333333333333334,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.8,4,12.2,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,5,12.0,4,15.0,Graduate
1st phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,5,13.0,5,13.5,Graduate
2nd phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Administrative staff,Yes,No,6,11.833333333333334,6,11.0,Dropout
1st phase - general contingent,Veterinary Nursing,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,6,14.0,6,13.333333333333334,Graduate
2nd phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Yes,Yes,6,12.333333333333334,6,13.5,Graduate
Over 23 years old,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,Yes,Yes,6,12.5,6,12.833333333333334,Graduate
1st phase - general contingent,Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,0,0.0,0,0.0,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,15.657142857142857,7,15.657142857142857,Graduate
1st phase - general contingent,Communication Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,6,12.166666666666666,6,11.333333333333334,Graduate
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Unknown,Student,Student,No,Yes,4,11.75,0,0.0,Dropout
Over 23 years old,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,No,0,0.0,0,0.0,Dropout
Transfer,Informatics Engineering,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,sellers,teachers,No,Yes,1,13.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,7,13.331428571428573,7,13.331428571428573,Graduate
Over 23 years old,Communication Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
Technological specialization diploma holders,Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,No,Yes,6,13.7,6,13.7,Graduate
Over 23 years old,Advertising and Marketing Management,Technical-professional course,Frequency of higher education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,No,0,0.0,0,0.0,Dropout
Change of institution/course,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,Yes,9,13.454545454545457,6,13.875,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,12.2,7,12.2,Graduate
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,3,10.0,4,11.0,Dropout
Short cycle diploma holders,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,5,13.0,6,12.857142857142858,Graduate
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,6,12.0,6,14.0,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,7,15.028571428571428,7,15.028571428571428,Graduate
1st phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.0,6,11.714285714285714,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,Yes,5,12.0,5,12.4,Graduate
Holders of other higher courses,Oral Hygiene,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,No,3,13.666666666666666,3,11.333333333333334,Dropout
1st phase - general contingent,Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,0,0.0,0,0.0,Graduate
1st phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,No,1,14.0,0,0.0,Dropout
Change of institution/course,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Oral Hygiene,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,Yes,7,12.375,5,12.583333333333334,Graduate
Over 23 years old,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
Holders of other higher courses,Agronomy,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,No,Yes,18,11.421052631578949,13,11.076923076923077,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,6,13.35,6,13.35,Graduate
Over 23 years old,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,15.0,2,16.0,Graduate
1st phase - general contingent,Equinculture,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,2,10.5,0,0.0,Dropout
Change of course,Equinculture,Higher Education,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,5,13.25,5,11.833333333333334,Graduate
2nd phase - general contingent,Informatics Engineering,2nd year complementary high school course,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,Yes,Yes,8,13.88125,8,13.88125,Graduate
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Armed Forces Professions,Intermediate Level Technicians and Professions,No,Yes,6,11.333333333333334,5,12.6,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,6,12.857142857142858,6,13.666666666666666,Graduate
2nd phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Workers in food processing, woodworking, clothing and other industries and crafts",cleaning workers,No,Yes,5,11.6,6,12.5,Graduate
2nd phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Other - 11th year of schooling,Intermediate Level Technicians and Professions,Unskilled Workers,Yes,Yes,5,11.4,6,11.333333333333334,Graduate
Technological specialization diploma holders,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Other - 11th year of schooling,Unskilled Workers,Intermediate Level Technicians and Professions,Yes,Yes,7,13.571428571428571,9,13.77777777777778,Graduate
Over 23 years old,Oral Hygiene,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,11.833333333333334,7,12.228571428571428,Graduate
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,7,14.428571428571429,7,14.142857142857142,Graduate
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,6,12.285714285714286,5,12.4,Graduate
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Other - 11th year of schooling,Other Situation,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,5,14.4,5,13.8,Graduate
2nd phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,7,13.15,8,15.06875,Graduate
Technological specialization diploma holders,Management,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Bachelor's Degree,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,No,0,0.0,0,0.0,Dropout
International student (bachelor),Informatics Engineering,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,"Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,12.342857142857143,7,12.342857142857143,Graduate
2nd phase - general contingent,Tourism,Unknown,7th Year (Old),Student,"Personal Services, Security and Safety Workers and Sellers",No,Yes,4,10.5,1,11.0,Dropout
International student (bachelor),Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,No,Yes,5,10.6,5,11.6,Graduate
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - special contingent (Madeira Island),Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,4,11.25,6,12.0,Graduate
Change of course,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,10.5,10,11.7,Graduate
3rd phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,7,13.457142857142856,8,14.5125,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other Situation,Other Situation,No,Yes,5,12.6,4,12.333333333333334,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Other Situation,No,No,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,13.666666666666666,5,13.6,Graduate
2nd phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,5,11.6,5,11.8,Graduate
Over 23 years old,Equinculture,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,6,12.571428571428571,5,12.833333333333334,Dropout
2nd phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,5,11.8,5,11.4,Dropout
2nd phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,6,11.333333333333334,6,11.833333333333334,Graduate
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,6,10.666666666666666,6,11.5,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,0,0.0,0,0.0,Graduate
Technological specialization diploma holders,Veterinary Nursing,Higher Education - Master's,Higher Education - Master's,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Specialists in Intellectual and Scientific Activities,No,Yes,6,13.333333333333334,4,11.5,Graduate
2nd phase - general contingent,Journalism and Communication,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,5,13.0,6,12.833333333333334,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,12.90857142857143,7,12.90857142857143,Graduate
1st phase - general contingent,Basic Education,Other - 11th year of schooling,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,4,12.0,1,10.0,Dropout
1st phase - special contingent (Madeira Island),Communication Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,6,15.333333333333334,6,15.833333333333334,Graduate
International student (bachelor),Management,Secondary Education - 12th Year of Schooling or Eq.,Specialized higher studies course,Administrative staff,Intermediate Level Technicians and Professions,No,No,6,13.0,2,14.0,Dropout
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.5,6,12.166666666666666,Graduate
3rd phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,13.0,6,14.333333333333334,Graduate
1st phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,4,11.75,5,12.571428571428571,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,4,12.5,4,14.25,Graduate
1st phase - general contingent,Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,17,11.61111111111111,17,12.055555555555555,Graduate
2nd phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,6,14.0,6,14.666666666666666,Graduate
2nd phase - general contingent,Agronomy,Higher Education - Master's,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,No,0,0.0,0,0.0,Dropout
Change of course,Management (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,5,13.8,5,13.833333333333334,Graduate
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Master's,Intermediate Level Technicians and Professions,Administrative staff,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Animation and Multimedia Design,9th Year of Schooling - Not Completed,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,No,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Administrative staff,Yes,Yes,4,12.25,3,12.333333333333334,Dropout
Technological specialization diploma holders,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,No,Yes,3,11.5,3,13.666666666666666,Dropout
Technological specialization diploma holders,Communication Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,6,12.571428571428571,9,12.555555555555555,Graduate
2nd phase - general contingent,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,No,Yes,6,12.0,5,12.166666666666666,Dropout
1st phase - general contingent,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,11,12.0,12,12.307692307692308,Graduate
1st phase - general contingent,Animation and Multimedia Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,6,12.0,6,11.166666666666666,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,Yes,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,No,0,0.0,0,0.0,Dropout
Over 23 years old,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,4,10.5,4,12.5,Dropout
Technological specialization diploma holders,Agronomy,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,5,12.857142857142858,6,12.3,Graduate
Change of institution/course,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,2,13.0,1,10.0,Dropout
Change of course,Social Service (evening attendance),Unknown,Unknown,Student,Student,No,Yes,11,12.454545454545457,8,12.75,Graduate
2nd phase - general contingent,Informatics Engineering,Other - 11th year of schooling,11th year of schooling - not completed,Unskilled Workers,Unskilled Workers,No,Yes,3,11.0,0,0.0,Dropout
